instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,weekdays,Kering
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,weekdays,Kering
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,weekdays,Kering
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,Clear,0.24,0.2273,38.0,0.194,4,186,190,weekdays,Kering
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,weekdays,Kering
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,weekdays,Kering
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,weekdays,Normal
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,Clear,0.2,0.197,51.0,0.194,3,40,43,weekdays,Normal
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,weekdays,Normal
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,Clear,0.2,0.2576,47.0,0.0,1,18,19,weekdays,Normal
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,weekdays,Normal
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,Clear,0.16,0.2273,64.0,0.0,0,4,4,weekdays,Normal
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,Clear,0.16,0.2273,64.0,0.0,0,2,2,weekdays,Normal
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,Misty,0.16,0.197,64.0,0.0896,0,1,1,weekdays,Normal
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,Misty,0.14,0.1818,69.0,0.0896,0,4,4,weekdays,Lembab
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,Misty,0.14,0.1667,63.0,0.1045,0,36,36,weekdays,Normal
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,Misty,0.16,0.2273,59.0,0.0,0,95,95,weekdays,Normal
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,Clear,0.16,0.2273,59.0,0.0,3,216,219,weekdays,Normal
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,Misty,0.18,0.2424,51.0,0.0,6,116,122,weekdays,Normal
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,Clear,0.2,0.2576,47.0,0.0,3,42,45,weekdays,Normal
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,weekdays,Kering
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,Clear,0.26,0.2879,35.0,0.0,6,78,84,weekdays,Kering
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,weekdays,Kering
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,weekdays,Kering
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,Clear,0.28,0.2727,36.0,0.0,8,54,62,weekdays,Kering
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,weekdays,Kering
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,weekdays,Normal
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,weekdays,Normal
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,weekdays,Normal
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,weekdays,Normal
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,weekdays,Normal
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,Misty,0.22,0.2121,51.0,0.2836,1,51,52,weekdays,Normal
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,Misty,0.2,0.197,59.0,0.194,4,19,23,weekdays,Normal
139,2011-01-07,Spring,2011,Jan,0,0,Friday,Misty,0.2,0.197,64.0,0.194,4,13,17,weekdays,Normal
140,2011-01-07,Spring,2011,Jan,1,0,Friday,Misty,0.2,0.197,69.0,0.2239,2,5,7,weekdays,Lembab
141,2011-01-07,Spring,2011,Jan,2,0,Friday,Misty,0.2,0.197,69.0,0.2239,0,1,1,weekdays,Lembab
142,2011-01-07,Spring,2011,Jan,4,0,Friday,Misty,0.2,0.2121,69.0,0.1343,0,1,1,weekdays,Lembab
143,2011-01-07,Spring,2011,Jan,5,0,Friday,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,weekdays,Normal
144,2011-01-07,Spring,2011,Jan,6,0,Friday,Misty,0.2,0.2576,69.0,0.0,8,26,34,weekdays,Lembab
145,2011-01-07,Spring,2011,Jan,7,0,Friday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,weekdays,Lembab
146,2011-01-07,Spring,2011,Jan,8,0,Friday,Clear,0.2,0.197,51.0,0.2537,20,190,210,weekdays,Normal
147,2011-01-07,Spring,2011,Jan,9,0,Friday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,weekdays,Normal
148,2011-01-07,Spring,2011,Jan,10,0,Friday,Clear,0.22,0.197,37.0,0.3284,16,47,63,weekdays,Kering
149,2011-01-07,Spring,2011,Jan,11,0,Friday,Misty,0.2,0.197,40.0,0.2239,19,48,67,weekdays,Kering
150,2011-01-07,Spring,2011,Jan,12,0,Friday,Misty,0.2,0.197,37.0,0.2537,9,50,59,weekdays,Kering
151,2011-01-07,Spring,2011,Jan,13,0,Friday,Misty,0.2,0.1818,37.0,0.2836,9,64,73,weekdays,Kering
152,2011-01-07,Spring,2011,Jan,14,0,Friday,Misty,0.2,0.197,40.0,0.2537,7,43,50,weekdays,Kering
153,2011-01-07,Spring,2011,Jan,15,0,Friday,Misty,0.2,0.2121,37.0,0.1642,9,63,72,weekdays,Kering
154,2011-01-07,Spring,2011,Jan,16,0,Friday,Misty,0.2,0.2121,37.0,0.1642,5,82,87,weekdays,Kering
155,2011-01-07,Spring,2011,Jan,17,0,Friday,Misty,0.2,0.2576,37.0,0.0,9,178,187,weekdays,Kering
156,2011-01-07,Spring,2011,Jan,18,0,Friday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,weekdays,Kering
157,2011-01-07,Spring,2011,Jan,19,0,Friday,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,weekdays,Normal
158,2011-01-07,Spring,2011,Jan,20,0,Friday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,weekdays,Normal
159,2011-01-07,Spring,2011,Jan,21,0,Friday,Clear,0.18,0.197,47.0,0.1343,0,39,39,weekdays,Normal
160,2011-01-07,Spring,2011,Jan,22,0,Friday,Misty,0.18,0.197,43.0,0.1642,2,34,36,weekdays,Kering
161,2011-01-07,Spring,2011,Jan,23,0,Friday,Misty,0.18,0.197,51.0,0.1642,1,14,15,weekdays,Normal
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,Misty,0.18,0.197,51.0,0.1642,1,24,25,weekend,Normal
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,weekend,Normal
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,weekend,Normal
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,7,7,weekend,Normal
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,1,1,weekend,Normal
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,5,5,weekend,Lembab
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,2,2,weekend,Lembab
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,Misty,0.16,0.1818,74.0,0.1045,1,8,9,weekend,Lembab
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,weekend,Lembab
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,weekend,Lembab
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,Misty,0.18,0.197,80.0,0.1642,5,56,61,weekend,Lembab
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,Misty,0.2,0.1818,69.0,0.3881,2,60,62,weekend,Lembab
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,Misty,0.2,0.1818,59.0,0.3582,8,90,98,weekend,Normal
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,Clear,0.2,0.1818,44.0,0.3284,7,95,102,weekend,Kering
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,Clear,0.2,0.1667,32.0,0.4925,12,83,95,weekend,Kering
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,Clear,0.2,0.1667,32.0,0.4478,5,69,74,weekend,Kering
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,weekend,Kering
179,2011-01-08,Spring,2011,Jan,17,0,Saturday,Clear,0.16,0.1212,37.0,0.5522,5,64,69,weekend,Kering
180,2011-01-08,Spring,2011,Jan,18,0,Saturday,Clear,0.14,0.1212,39.0,0.2985,3,52,55,weekend,Kering
181,2011-01-08,Spring,2011,Jan,19,0,Saturday,Clear,0.14,0.1212,36.0,0.2537,4,26,30,weekend,Kering
182,2011-01-08,Spring,2011,Jan,20,0,Saturday,Clear,0.12,0.1212,36.0,0.2537,0,28,28,weekend,Kering
183,2011-01-08,Spring,2011,Jan,21,0,Saturday,Clear,0.12,0.1061,39.0,0.3582,2,35,37,weekend,Kering
184,2011-01-08,Spring,2011,Jan,22,0,Saturday,Clear,0.12,0.1061,36.0,0.3881,1,33,34,weekend,Kering
185,2011-01-08,Spring,2011,Jan,23,0,Saturday,Clear,0.1,0.0606,39.0,0.4478,0,22,22,weekend,Kering
186,2011-01-09,Spring,2011,Jan,0,0,Sunday,Clear,0.1,0.0758,42.0,0.3881,1,24,25,weekend,Kering
187,2011-01-09,Spring,2011,Jan,1,0,Sunday,Clear,0.1,0.0606,42.0,0.4627,0,12,12,weekend,Kering
188,2011-01-09,Spring,2011,Jan,2,0,Sunday,Clear,0.1,0.0606,46.0,0.4627,0,11,11,weekend,Normal
189,2011-01-09,Spring,2011,Jan,3,0,Sunday,Clear,0.1,0.0758,46.0,0.4179,0,4,4,weekend,Normal
190,2011-01-09,Spring,2011,Jan,4,0,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,Normal
191,2011-01-09,Spring,2011,Jan,5,0,Sunday,Clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,Normal
192,2011-01-09,Spring,2011,Jan,6,0,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,1,1,weekend,Normal
193,2011-01-09,Spring,2011,Jan,7,0,Sunday,Clear,0.08,0.0909,53.0,0.194,1,5,6,weekend,Normal
194,2011-01-09,Spring,2011,Jan,8,0,Sunday,Clear,0.1,0.0909,49.0,0.2836,0,10,10,weekend,Normal
195,2011-01-09,Spring,2011,Jan,9,0,Sunday,Clear,0.12,0.0758,46.0,0.5224,0,19,19,weekend,Normal
196,2011-01-09,Spring,2011,Jan,10,0,Sunday,Clear,0.14,0.1061,43.0,0.3881,0,49,49,weekend,Kering
197,2011-01-09,Spring,2011,Jan,11,0,Sunday,Clear,0.16,0.1212,40.0,0.5224,2,47,49,weekend,Kering
198,2011-01-09,Spring,2011,Jan,12,0,Sunday,Clear,0.18,0.1364,37.0,0.4478,4,79,83,weekend,Kering
199,2011-01-09,Spring,2011,Jan,13,0,Sunday,Clear,0.2,0.1667,34.0,0.4478,6,69,75,weekend,Kering
200,2011-01-09,Spring,2011,Jan,14,0,Sunday,Clear,0.22,0.1818,32.0,0.4627,8,64,72,weekend,Kering
201,2011-01-09,Spring,2011,Jan,15,0,Sunday,Clear,0.22,0.197,35.0,0.3582,5,77,82,weekend,Kering
202,2011-01-09,Spring,2011,Jan,16,0,Sunday,Clear,0.2,0.1667,34.0,0.4478,13,79,92,weekend,Kering
203,2011-01-09,Spring,2011,Jan,17,0,Sunday,Clear,0.18,0.1515,37.0,0.3881,3,59,62,weekend,Kering
204,2011-01-09,Spring,2011,Jan,18,0,Sunday,Clear,0.16,0.1364,40.0,0.3284,4,44,48,weekend,Kering
205,2011-01-09,Spring,2011,Jan,19,0,Sunday,Clear,0.16,0.1364,43.0,0.3284,1,40,41,weekend,Kering
206,2011-01-09,Spring,2011,Jan,20,0,Sunday,Clear,0.14,0.1212,46.0,0.2537,0,38,38,weekend,Normal
207,2011-01-09,Spring,2011,Jan,21,0,Sunday,Clear,0.14,0.1061,46.0,0.4179,1,19,20,weekend,Normal
208,2011-01-09,Spring,2011,Jan,22,0,Sunday,Clear,0.14,0.1212,46.0,0.2985,5,10,15,weekend,Normal
209,2011-01-09,Spring,2011,Jan,23,0,Sunday,Clear,0.12,0.1364,50.0,0.194,0,6,6,weekend,Normal
